case_id,case_text,case_type,priority,assigned_group,status,resolution_notes,created_at,resolved_at,processing_steps,workflow_total_time
1005534,"Users cannot access the Arabic interface after the latest login change. Multiple users report blank page when opening the Arabic UI.",Ticket,Medium,application_support,closed,Done,2020-01-10,2020-01-11,4,18h
1005265,"Outward transactions stopped processing after 1:56. Operations team reports payment queue is blocked and transactions are not leaving the core system.",Ticket,Blocker,operations_support,closed,Done,2020-01-12,2020-01-12,7,4h
1004298,"Urgent support requested for reported application vulnerabilities before month end. Security scan flagged vulnerable components in the web application.",Ticket,High,security_support,closed,Done,2020-01-13,2020-01-15,8,36h
1004437,"Please open a deployment case for testing and deploying the change on the test server. Change package is ready for validation.",Deployment,Medium,release_management,closed,Done,2020-01-14,2020-01-14,5,6h
1004761,"Failed transactions and logs attached. System stopped sending requests to core banking service. Business users cannot complete transaction posting.",Ticket,Highest,operations_support,closed,Done,2020-01-15,2020-01-15,9,3h
1001001,"Password reset email is not arriving for three customer support users. They cannot sign in to the case portal.",Ticket,Medium,identity_access,closed,Reset mail service and confirmed access,2020-02-01,2020-02-01,3,5h
1001002,"Request to add a new content page to the public website. Marketing supplied approved copy and asks for staging review.",Service Request,Low,web_content,closed,Published to staging for review,2020-02-02,2020-02-04,4,22h
1001003,"Mobile app crashes when field team submits incident note with attached photo. Several incident reports are delayed.",Incident,High,mobile_support,closed,Fixed attachment validation issue,2020-02-03,2020-02-03,6,7h
1001004,"Invoice import job skipped several rows and finance operations cannot complete reconciliation for the day.",Ticket,High,finance_operations,closed,Reran import after correcting file format,2020-02-04,2020-02-04,5,5h
1001005,"User asks whether a policy exception can be reviewed for an application submitted after the deadline.",Policy Review,Medium,policy_operations,closed,Sent to human policy reviewer,2020-02-05,2020-02-06,4,18h
1001006,"The governance intake form rejects a valid department code and blocks submission of a new AI use case.",Intake Issue,Medium,governance_operations,closed,Updated department code list,2020-02-06,2020-02-07,4,14h
1001007,"Syllabus advising question about whether a missed lab can be replaced with the alternate assignment listed in week seven.",Advising Question,Low,academic_support,closed,Advisor confirmed syllabus rule,2020-02-07,2020-02-08,2,10h
